"","n.mar","length","ave.spacing","max.spacing"
"L1",70,208.874682704301,3.02716931455509,16.9354543453316
"L2",14,45.713407660506,3.51641597388507,10.6401393221993
"L3",31,136.341720753683,4.54472402512278,27.1260087827215
"L4",12,33.6840147459582,3.06218315872347,8.04189526181673
"L5",25,133.811556426433,5.57548151776806,29.3242776888925
"L6",18,46.7744387766693,2.7514375750982,7.64547757435346
"L7",92,283.981067377706,3.12067107008469,16.3060715296226
"L8",43,177.229350402611,4.21974643815741,15.2274683491749
"L9",16,56.5955088671008,3.77303392447339,9.4360659315308
"L10",51,83.535394693398,1.67070789386796,9.84793980536575
"L11",21,45.5626121286827,2.27813060643414,12.0228252209812
"L12",13,25.0618461747734,2.08848718123111,9.53211064720402
"L13",11,32.3140817561461,3.23140817561461,11.7338544029904
"L14",92,317.150472610174,3.48517002868323,17.6757311407811
"L15",26,62.1784901357833,2.48713960543133,22.0212094752901
"L16",41,226.540910123863,5.66352275309658,22.9113372520115
"L17",45,176.378288240212,4.00859746000481,23.6834248715182
"L18",126,490.98300094264,3.92786400754112,29.8490988038231
"L19",70,238.027322841008,3.44967134552185,21.7837292277763
"L20",35,252.891842056338,7.43799535459816,55.4142767239393
"L21",75,315.073794295527,4.25775397696659,39.3077834092656
"L22",85,353.447145140566,4.20770410881626,40.9807416608633
"overall",1012,3742.15094885408,3.77995045338796,55.4142767239393
